SMILES,measured log(solubility:mol/L)
Cc1cscc1,-2.39
[#6]C1=C[SH0]C=C1,-2.39
C=CCCN=C=S,-2.39
ONC1=C2N=CN=C2N=CN1,-2.4
CCNC1=NC(Cl)=NC(N)=N1,-2.41
[#6]CNC1=[NH0]C(Cl)=[NH0]C([#7])=[NH0]1,-2.41
NC1=NC2=C(N1)N=CN=C2,-2.42
S=C(NC(C)=C1)NC1=O,-2.43
FC1CC(F)(F)C(F)(F)C1(F)F,-2.44
CC(CCCO[N+]([O-])=O)O[N+]([O-])=O,-2.44
n(cc(c(n1)O)C)c1S,-2.45
CC1=CNC(=S)NC1=O,-2.45
CCC(CC)O[N+]([O-])=O,-2.45
CC(C)CCO[N+]([O-])=O,-2.48
CCCC(C)O[N+]([O-])=O,-2.48
OC(=O)c1[nH]c[n]c1C(O)=O,-2.49
NC(=O)C1=CC(=O)NC(=O)N1,-2.49
CC(Cl)CCC,-2.496666667
CCCC(CO[N+]([O-])=O)O[N+]([O-])=O,-2.5
CC(C)(Cl)CC,-2.51
S=C1NC2=C(N1)N=CN=C2,-2.52
CC\C=C\C,-2.54
CC=CCC,-2.54
CC\C=C/C,-2.54
CCCCCO[N+]([O-])=O,-2.57
S=C1NC2=C(C=N1)N=CN2,-2.58
S=C1Nc2nc[nH]c2C=N1,-2.58
S=C1NC=C2N=CN=C2N1,-2.58
CC(C(N(Cl)C1=O)=O)(N1Cl)C,-2.6
ClC(CC)CC,-2.63
CCC[C@@H](C)Cl,-2.63
C=CCCC,-2.68
O=C(NCC(N(=O)=O)(N(=O)=O)N(=O)=O)NCC(N(=O)=O)(N(=O)=O)N(=O)=O,-2.68
CC(CON(=O)=O)(CON(=O)=O)CON(=O)=O,-2.69
ClC(C(C)(Cl)C)C,-2.69
C[C@@H](Cl)C(C)(C)Cl,-2.69
CN(C)S(=O)(=O)N=C1SC(=NN1C)S(N)(=O)=O,-2.7
CCC(C)=C,-2.73
CCCCCS,-2.82
COP(=O)(OC)SCCSC,-2.86
CC(C)CCBr,-2.89
S=C1NC=NC2=C1N=CN2,-2.95
O=C1NC2=C(N1)C(=O)NC=N2,-2.96
BrCCCCC,-3.07
CC(COC=O)OC=O,-3.19
CC1=CCS(=O)(=O)C1,-3.23
NC1=NC2=C(N=CN2)C(=S)N1,-3.31
[#6]COC1=[NH0]C(=[NH0][SH0]1)C(Cl)(Cl)Cl,-3.33
CC(C)(C)C,-3.34
NC1=NC(=O)NC2=C1NC=N2,-3.37
NC1=NC(=O)NC2=C1N=CN2,-3.38
NC1=NC(O)=NC2=C1NC=N2,-3.4
[H]N([H])C1=C2N([H])C([H])=NC2=NC(=O)N1[H],-3.4
O=C1NC2NC(=O)NC(=O)C2N1,-3.45
NC1=C2NC(=O)N=C2NC(=O)N1,-3.46
CCOC1=NC(=NS1)C(Cl)(Cl)Cl,-3.515
CCOP(=S)(OCC)SCCl,-3.59
CCOP(=S)(COC)SCCl,-3.59
O=C1NC2=CNC(=O)NC2=N1,-3.6
O=C1NC2=C(N1)C=NC(=O)N2,-3.6
O=C1NC2=C(N1)C(=O)NC(=O)N2,-3.666666667
NC1=NC2NCNC2C(=O)N1,-3.7
Clc1cc(Cl)c(Cl)nc1Cl,-3.86
[O-][N+](=O)OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O,-3.87
O=C1NC2=C(N=CN2)C(=O)N1,-3.87
C=C[S](=O)(=O)C[S](=O)(=O)C=C,-3.92
OC1=NC(O)=C2NC(=O)NC2=N1,-3.93
O=C1NC2=C(N1)C(=S)NC(=O)N2,-4.03
[nH]1cnc2nc(N)[nH]c(=O)c12,-4.43
NC1=NC(=O)NC2=C1NC(=O)N2,-4.92
ClC1(C(Cl)=C(Cl)C(Cl)=C1Cl)Cl,-5.18
BrCC(CBr)(CBr)CBr,-5.38
FC(F)(F)N1C(F)(F)C(F)(F)OC(F)(F)C1(F)F,-5.6
ClC1=C(Cl)C(Cl)(Cl)C(Cl)(Cl)C1(Cl)Cl,-6.54
CC(C)(CO)[N+]([O-])=O,1.47
C1CCCN1,1.15
CC(C)CN,1.14
COC(C)=C,1.14
CCCCN,1.14
CC(C)(C)N,1.14
C\C=C\CO,1.14
CC(N(C)C)=O,1.11
NCCCC(O)=O,1.1
c1ccncn1,1.1
c1cccnn1,1.1
CN1C=CN=C1,1.09
Cc1[nH]ncc1,1.09
[#6][NH0]1C=C[NH0]=C1,1.09
OCC#CCO,1.09
CC(N)CC(O)=O,1.08
C[C@@H]([NH3+])CC([O-])=O,1.08
O=C1CCCO1,1.07
CC(C)(O)C#N,1.07
C1COCCN1,1.06
C1O[C@H]1[C@H]2CO2,1.06
C1O[C@@H]1[C@H]2CO2,1.06
CC(O)C(C)=O,1.06
CC(O)CC=O,1.06
C1OC1C1CO1,1.06
C\C=C/C(O)=O,1.06
C1O[C@@H]1[C@@H]2CO2,1.06
CC(O)C(C)O,1.05
OCCCCO,1.05
C1COCCO1,1.05
COCC(C)O,1.05
OC1COCC1,1.05
COCCOC,1.05
CC(C)(N)CO,1.05
CC(O)CCO,1.05
COC(C)OC,1.05
CCC(O)CO,1.05
CCC(O)CN,1.05
CN(C)CCO,1.05
CCC(N)CO,1.05
O[C@H]1CCOC1,1.05
C[C@@H](O)[C@H](C)O,1.04
CCOCCO,1.04
CC[C@@H](O)CO,1.04
CC(NC=O)C#N,1.01
O=NN1CCCC1,1
CC(=O)CC(N)=O,1
CC(=O)NCCO,0.99
CC(=O)CC(O)=O,0.99
NCCNCCN,0.99
[O-][N+](=O)C(CO)(CO)CO,0.99
NCCNCCO,0.98
CC(N)(CO)CO,0.98
COC(=O)C(C)O,0.98
OCCNCCO,0.98
NCCOCCN,0.98
CCNCC,0.975
OCCOCCO,0.97
OC(=O)C1=NOC=C1,0.95
O=NN1CCOCC1,0.94
OCC1COC(=O)O1,0.93
COC(=O)COCO,0.92
NC(CCO)C(O)=O,0.92
N[C@@H](CCO)C(O)=O,0.92
OCCSCCO,0.91
CC1OCCO1,0.88
CC(C)(C)OO,0.88
OC(=O)CC(=O)C(O)=O,0.88
CC(C)(C)O,0.88
OCCN(CCO)N=O,0.87
CC(C)OP(C)(F)=O,0.85
CC(C)O[P@](C)(F)=O,0.85
OC\C=C/CO,0.85
CCOC(=O)NC,0.83
OCNC(=O)C=C,0.81
CN(C)P(F)(=O)N(C)C,0.81
CC(CO)(CO)[N+]([O-])=O,0.77
CC(C(O)=O)C(O)=O,0.76
C1CNCCN1,0.74
NC(CO)(CO)CO,0.725
OCC(O)C(CO)O,0.7
O[C@H](CO)[C@@H](O)CO,0.7
OC[C@H](O)[C@@H](O)CO,0.7
CCN(O)CC,0.7
O[C@@H]([C@@H](O)C(O)=O)C(O)=O,0.695
O=C1NC=CC=N1,0.67
COC(N)(OC)OC,0.66
COCC(N)C(O)=O,0.65
COP(=O)(NC(C)=O)SC,0.65
COC[C@H](N)C(O)=O,0.65
OC(=O)C(O)CC(O)=O,0.646666667
O=C1OC(=O)C=C1,0.62
O=C1NC=NC=C1,0.59
O=C1CC=NC=N1,0.59
OC1=NC=NC=C1,0.59
O=C1C=CNC=N1,0.59
OC(=O)\C=C/C(O)=O,0.58
CCS(=O)(=O)NS(=O)(=O)CC,0.54
CO[P@@](=O)(NC(C)=O)SC,0.54
OCc1scnc1,0.53
CC(CC)=O,0.52
OC(=O)CC(S)C(O)=O,0.52
CCOP(=O)(OC)OC,0.51
Cc1[nH]ccn1,0.51
OC(C(O)C(O)=O)C(O)=O,0.51
OC(=O)CCCP(O)(O)=O,0.5
OC(=O)COCC(O)=O,0.49
O[C@@H]([C@H](O)C(O)=O)C(O)=O,0.49
OC(CCC)=O,0.435
CC(=C)CO,0.43
OC(=O)CSCC(O)=O,0.43
O[C@H](CC(O)=O)C(O)=O,0.43
CC1OC1C,0.4
CC(=C)C(N)=O,0.38
CC(=O)C(C)=O,0.37
C\C=C/CO,0.36
CC\C=C/O,0.36
CC(=O)NNC(C)=O,0.33
CC(O)CC,0.33
CC[C@H](C)O,0.33
C\C=C/C=O,0.32
CCC(C(O)=O)N,0.31
CC[C@@H]([NH3+])C([O-])=O,0.31
CC1COC(=O)O1,0.3
CC[C@H](N)C(O)=O,0.29
CC(C)C(O)=O,0.28
CCCC(N)=O,0.27
O=C(CC1)NC1=O,0.225
N#CCCC#N,0.2
CCC(C)N,0.19
CC1=C(N=CN1)S(O)(=O)=O,0.19
CC(C)(N)C(O)=O,0.185
CC(C)(O)CCl,0.16
NCC(=O)NCC(O)=O,0.1
C\C=C(/Cl)C(O)=O,0.08
CC(=O)OC(C)=O,0.07
NC(C(O)=O)C(O)C,0.07
CC\C(C)=N\O,0.06
CC\C(C)=N/O,0.06
CCC(C)N=O,0.06
O=NN1CCCC1=O,0.05
OC(=O)CN(CP(O)(O)=O)CP(O)(O)=O,0.045
O=S(CC)(CC)=O,0.04
C/C=C/C(O)=O,0.04
CCN(CC)N=O,0.02
CCC1CO1,0.015
CC(NC=O)C(O)=O,0.01
CC(C(O)=O)=C,0.01
CC(O)SC=C,0.01
CC(C)C=O,0.005
CC=CC(O)=O,0
C1NNCN2CNNCN12,-0.01
CC(OCC)=O,-0.04
CNCCC(O)=O,-0.05
OC(CCC(O)=O)=O,-0.055
COC(C)C,-0.06
CC1=CC(=O)NO1,-0.07
Cc1cc(O)no1,-0.07
O=[S]1(=O)CCCC1,-0.08
CC1(C)CO1,-0.09
C[C@@H](O)[C@H](N)C(O)=O,-0.09
C[C@H](O)[C@@H]([NH3+])C([O-])=O,-0.09
C[C@H](O)[C@@H](N)C(O)=O,-0.09
CCSS(=O)CC,-0.1
SC(=S)NCCNC(S)=S,-0.11
COC1CC1,-0.12
CCCOC(N)=O,-0.13
OC(=O)C(Cl)CC(O)=O,-0.1425
CN1CC(=O)N=C1N,-0.15
CC(=C)C=O,-0.15
c1ccc[nH]1,-0.17
CC(O)(CCl)CCl,-0.18
O=C1CCC(=O)O1,-0.2
CC(O)C(C)Cl,-0.21
O=C1CC=CS1,-0.22
COP(=O)(OC)[C@H](O)C(Cl)(Cl)Cl,-0.22
N1N=NC2=CN=CN=C12,-0.22
CC(=O)CSC#N,-0.22
OC(=O)CC(Br)C(O)=O,-0.22
N1N=NC2=C1C=NC=N2,-0.23
N1N=C2C=NC=NC2=N1,-0.23
COC(=O)CC#N,-0.26
CC(C)=NNC(N)=O,-0.27
COC(=O)C(=O)OC,-0.29
NC(=S)NCC=C,-0.29
CC(C)C#N,-0.3
C=CCC#N,-0.31
CCCC#N,-0.32
OC(=O)\C=C\C(O)=O,-0.32
OC(C(Cl)(Cl)Cl)P(OC)(OC)=O,-0.336666667
CCC(CO)[N+]([O-])=O,-0.34
CCOC(=O)OC,-0.34
CC(N)C(O)C(O)=O,-0.35
CCC(Br)C(O)=O,-0.38
CC(=C)C#N,-0.42
C\C=C\C#N,-0.43
CC=CC#N,-0.43
OC1=C(Br)C=NC=N1,-0.45
BrC1=CN=CNC1=O,-0.45
CC1=C(N=NS1)C(O)=O,-0.46
[#6]C1=C([NH0]=[NH0][SH0]1)C(O)=O,-0.46
CC1=NOC(=O)\C1=N\O,-0.54
CC1=NO[N+]([O-])=C1C,-0.54
CCOC(=O)N(C)N=O,-0.55
C[C@]1(CCl)CO1,-0.55
CC1(CCl)CO1,-0.55
OC(=O)C(Cl)(Cl)CCCl,-0.58
CC(NC(N)=O)NC(N)=O,-0.59
CC1(NC(=O)NC1O)OO,-0.6
C\C(Br)=C\C(O)=O,-0.6
C\C(Cl)=C\C(O)=O,-0.6
CCC(C)[N+](=O)[O-],-0.62
CC(=O)OC=C,-0.63
CCOC1=NSC(N)=N1,-0.65
N[C@@H](CC(N)=O)C(O)=O,-0.65
CC(=O)NCC(O)=O,-0.65
[#6]COC1=[NH0][SH0]C([#7])=[NH0]1,-0.65
CC(=O)OCCBr,-0.67
ClCCCC#N,-0.68
[#7]NC(=O)C1=[NH0]C=C[SH0]1,-0.68
NNC(=O)C1=NC=CS1,-0.68
COCCC,-0.69
C\C(Cl)=C/C(O)=O,-0.7
C#CC#C,-0.72
NC(=O)C[C@@H]([NH3+])C([O-])=O,-0.74
OC(=O)\C=C\CBr,-0.74
COC(=O)CCS,-0.76
CCCCN[P](N)(N)=S,-0.77
NC(=O)NC(=N)NOS(=O)(=O)ONC(=N)NC(N)=O,-0.78
C[C@H](NC(N)=O)C(O)=O,-0.78
CCOC(=O)CCl,-0.8
NC(=O)NCCC(O)=O,-0.8
OC(=O)C[C@@H](Cl)C(O)=O,-0.8
[O-][N+](=O)C12CO[P+]([O-])(OC1)OC2,-0.81
c1ccco1,-0.82
NC(C(O)C(O)=O)C(O)=O,-0.83
O=C1CNC(CN1)=O,-0.83
N[C@@H]([C@@H](O)C(O)=O)C(O)=O,-0.83
CC(Cl)C(Cl)(Cl)C(O)O,-0.87
CCC(Br)(Br)C(O)=O,-0.87
CC(NC(N)=O)C(O)=O,-0.875
CCOCCCl,-0.92
NC1=NC(=O)NC=C1F,-0.93
NC1=C(F)C=NC(=O)N1,-0.93
CN(CC(O)=O)C(N)=N,-0.94
CCC(O)C(Cl)(Cl)Cl,-0.95
ClN1C(=O)CCC1=O,-0.97
NC(CC(N)C(O)=O)=O,-0.97
NC(CC(O)=O)C(O)=O,-0.98
CC(C)OC(Cl)=O,-0.99
CN1COCN=C1N[N+]([O-])=O,-1
NC1=NC2=C(N=NN2)C(=O)N1,-1.01
ClCCOCCCl,-1.02
COC(OC)OC,-1.03
O=C(NC=C1F)NC1=O,-1.07
BrN1C(=O)CCC1=O,-1.08
CCSS(=O)(=O)CC,-1.11
C=COC=C,-1.11
ClC(Cl)COCC(Cl)Cl,-1.12
CC(Cl)OC(=O)C(\O)=N\O,-1.13
NC1=NC(NC=C1)=O,-1.14
NC1=CC=NC(=O)N1,-1.14
NC(C(O)C(O)=O)C(N)=O,-1.15
S(=O)(CCCl)CCCl,-1.16
CN1N=C(SC1=NS(=O)(=O)C(F)(F)F)S(N)(=O)=O,-1.16
C\C(I)=C\C(O)=O,-1.16
O=C1CC(=O)NC(=O)N1,-1.17
O=C(C(N1)=O)C(NC1=O)=O,-1.25
ClCCCCCl,-1.32
CCOS(=O)(=O)OCC,-1.34
CC(O)(CN)C(O)=O,-1.34
CCCC[N+]([O-])=O,-1.35
CC(C)(O)C(Cl)(Cl)Cl,-1.35
NC(=O)OC(CCl)CCl,-1.36
NC1=CC(=O)N=C(N)N1,-1.38
c1cccs1,-1.39
N[C@@H](CC(O)=O)C(O)=O,-1.4
N[C@H](CC(O)=O)C(O)=O,-1.4
CC(S(C)(=O)=O)S(C)(=O)=O,-1.42
Clc1cc(Cl)ncn1,-1.42
O=C1C=CC(=O)NN1,-1.42
COP(=O)(OC=C(Cl)Cl)OC,-1.44
OC(=O)CSSSSCC(O)=O,-1.45
C=CC#C,-1.46
[N-]=[N+]=C1C(=O)NC(=O)NC1=O,-1.47
OC1CSC(O)CS1,-1.47
C=COCC(F)(F)F,-1.48
CC(Br)Br.BrCCBr,-1.48
O=C(NC=C1)NC1=O,-1.48
S(=O)(=O)(CCCl)CCCl,-1.5
CC(=O)OCCS,-1.5
CC(C)(C)Cl,-1.51
NC(NC(C(N1)=O)NC1=O)=O,-1.54
CC(Cl)Cl.ClCCCl,-1.59
OC1=CC(=O)NC=N1,-1.59
C1CSCCS1,-1.6
NC(=O)N[C@@H]1NC(=O)NC1=O,-1.6
ClCCOC=C,-1.625
CC1=NC=C(N1)[N+]([O-])=O,-1.63
OC1=CC(O)=NC=N1,-1.65
O=C1CC(=O)N=CN1,-1.65
OC1=CC(=O)N=CN1,-1.65
CC(CCO[N+]([O-])=O)O[N+]([O-])=O,-1.66
[O-][N+](=O)OCCCCO[N+]([O-])=O,-1.68
C=CCN=C=S,-1.7
O=N(=O)OCCOCCON(=O)=O,-1.7
[#7]C1=[NH0]C(O)=C(O)C([#7])=[NH0]1,-1.7
NC1N=C(N)NC(=O)C1=O,-1.7
CCOC(=O)CON(=O)=O,-1.71
OC(=O)CNNCC(O)=O,-1.72
CN1N=NN=C1SSC1=NN=NN1C,-1.76
OS(=O)(=O)NC1=CNC(=O)NC1=O,-1.77
CC1=C(NC(Br)=N1)N(=O)=O,-1.79
CC1=C(N=C(Br)N1)N(=O)=O,-1.79
CC(C)(C)S,-1.79
CC(=C)CCl,-1.81
CCC(C)S,-1.83
CC[C@H](C)S,-1.84
NC(=O)NC1(N)NC(=O)N=C1N,-1.84
CCC(CO[N+]([O-])=O)O[N+]([O-])=O,-1.89
CC(O[N+]([O-])=O)C(C)O[N+]([O-])=O,-1.89
ClCCN(Cl)CCCl,-1.92
C\C=C/C,-1.93
CC(C)CO[N+]([O-])=O,-1.95
C\C=C\CCl,-1.96
CC(C)=CCl,-1.96
CC(Cl)CC,-1.96
CC[C@@H](C)Cl,-1.96
CC(CCl)C,-2
CCCCO[N+]([O-])=O,-2.03
ClCCCC,-2.03
C\C=C\C,-2.04
CN1N=C(SC1=NS(C)(=O)=O)S(N)(=O)=O,-2.05
ClCC(Cl)(Cl)Cl.ClC(Cl)C(Cl)Cl,-2.07
O=C1NC2NC(=O)NC2N1,-2.09
C\C(=N\O)\C(\C)=N\O,-2.16
ClCC(=O)NC(=O)CCl,-2.23
C=CCCBr,-2.25
ClC\C=C\CCl,-2.25
S=C(NC=C1)NC1=O,-2.26
OC1=CC=NC(S)=N1,-2.26
ClCC(Cl)C=C,-2.265
SC1=NC=CC(=O)N1,-2.27
O=C(NC1=O)C(N(=O)=O)C(N1)=O,-2.28
COP(=O)(OC)O[C@H](Br)C(Cl)(Cl)Br,-2.28
C\C(=N/O)\C(\C)=N\O,-2.29
C\C(NO)=C(/C)N=O,-2.29
CC(N=O)C(C)N=O,-2.29
C\C(NO)=C(\C)N=O,-2.29
ClC\C=C/CCl,-2.33
CC(C)=C,-2.33
C[C@@H](Cl)[C@@H](C)Cl,-2.35
CC(C)(C)Br,-2.36
CC(Nc1nnc(S(N)(=O)=O)s1)=O,-2.36
[#6]C(=O)NC1=[NH0][NH0]=C([SH0]1)S([#7])(=O)=O,-2.36
ClCCSCCCl,-2.37
BrC1=CNC(=O)NC1=O,-2.37
CC(Cl)(Cl)Cl.ClCC(Cl)Cl,-2.38
NC(C(N)C(O)=O)C(O)=O,-2.38
CC(=O)NC1=NC(=S)SS1,-2.38
NC1=CNC(=O)NC1=O,-2.4
ClC(Cl)CCC,-2.4
NC1=C(I)C=NC(=O)N1,-2.4
ClCC(Cl)C(Cl)=C,-2.42
CC(Cl)C(Cl)C,-2.525
O=N(=O)OCC(CON(=O)=O)(CON(=O)=O)N(=O)=O,-2.54
ClC(=C)C=C,-2.55
CN(C)S(=O)(=O)NC1=NN=C(S1)S(N)(=O)=O,-2.68
C[C@@H](Cl)[C@H](C)Cl,-2.7
OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-2.77
BrCCCCBr,-2.79
CCC(C)Br,-3.11
S=C1NN=C(SSC2=NNC(=S)S2)S1,-3.25
CS(=O)(=O)C(S(C)(=O)=O)S(C)(=O)=O,-3.27
N[S](=O)(=O)c1sc(Cl)cc1,-3.3
FC(F)(I)C(F)(F)C(F)(F)C(F)(F)I,-3.31
Ic1c([nH]c(I)c1I)I,-3.46
Nc1nc(N)c(N=O)c(N)n1,-3.85
ClC(Cl)C(Cl)=C=C(Cl)Cl,-4.23
Cl\C=C(/Cl)C(Cl)=C(Cl)Cl,-4.23
ClC(=C(C=C(Cl)Cl)Cl)Cl,-4.23
ClC=C(Cl)C(Cl)=C(Cl)Cl,-4.23
C[C](C)C,-4.38
COP(=S)(OC)SSP(=S)(OC)OC,-4.4
CC(=O)NC1NNC(S1)S(N)(=O)=O,-4.58
O=N(=O)N1CN(CN(CN(C1)N(=O)=O)N(=O)=O)N(=O)=O,-4.82
ClC(C(Cl)=C(Cl)Cl)=C(Cl)Cl,-4.91
FC(F)=C(F)OC(F)(F)C(F)(F)F,-4.95
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)[S](F)(=O)=O,-6.04
CCCN,1.375
C#CCO,1.25
C=CCN,1.24
CC(C)=O,1.24
C=CCO,1.24
C1COC1,1.24
NC1CC1,1.24
CC1CN1,1.24
CC(C)N,1.23
OCCC#N,1.15
CC(O)C#N,1.15
CNC(C)=O,1.14
CN(C)C=O,1.14
CC(=O)C=O,1.14
O=CC1CO1,1.14
CC(=O)CO,1.13
OCC1CO1,1.13
C1OCCO1,1.13
CC(N)CN,1.13
CC(O)CO,1.12
COCCO,1.12
CNCCO,1.12
OCCCO,1.12
CC(O)CN,1.12
OC(=O)CC#N,1.07
CC(=O)C(O)=O,1.06
COCC(O)=O,1.05
C[C@@H](O)C(O)=O,1.04
NCC(O)CO,1.04
OC(=O)CC(O)=O,1.02
OCC(=O)CO,1.01
CN(C)C,1.01
O=C1OCCO1,1.005
CNC(=S)NC,0.98
OCC(O)C(O)=O,0.97
[nH]1ccnc1,0.97
NC(CO)CO,0.97
OCC(O)CCl,0.96
CC(Cl)C(O)=O,0.96
CC(O)C(N)=O,0.94
CNC(=O)NC,0.94
CN(CC(O)=O)N=O,0.93
CCC(O)=O,0.925
C=CC(N)=O,0.85
C[C@@H]1CO1,0.84
O=C1NCCN1,0.84
NCCC(O)=O,0.79
NC(OCC)=O,0.79
O=C1OC=CO1,0.78
CCOP(O)(=O)C(N)=O,0.77
OCC(O)COP(O)(O)=O,0.76
OC(=O)CCS,0.75
O=C1CCO1,0.71
OC(=O)C=C,0.575
COP(=O)(OC)OC,0.55
CC(Cl)(Cl)C(O)=O,0.55
N[C@H](CO)C(O)=O,0.54
CCN(C)N=O,0.53
CNCC(O)=O,0.53
OP(O)(=O)CN(CP(O)(O)=O)CP(O)(O)=O,0.52
OC(=O)CCP(O)(O)=O,0.5
OCCCCl,0.42
CP(=O)(OC)OC,0.41
CCOS(C)(=O)=O,0.4
O1C=CC=N1,0.38
N1C=CC=N1,0.37
N[C@@H](CS)C(O)=O,0.36
OC(C(O)=O)C(Cl)(Cl)Cl,0.36
N#CCC#N,0.3
FC(F)(F)C(O)C,0.3
C[C@H](O)C(F)(F)F,0.3
C1OCOCO1,0.29
CC(O)C(O)=O,0.285
CC(N)C(O)=O,0.27
OC(=O)CNC=O,0.27
C[C@@H](N)C(O)=O,0.26
CN(C)C(N)=O,0.21
NC(=O)CC#N,0.19
COC(=O)OC,0.19
C(OCC)=O,0.15
OS(=O)(=O)C1=CN=CN1,0.13
OS(=O)(=O)C1=CNC=N1,0.13
C[C@H]1CO1,0.125
[O-][N+](=O)C(Br)(CO)CO,0.1
NC(CO)C(O)=O,0.09
CC(O)C(N(=O)=O)N(=O)=O,0.08
OC(C(F)(F)F)C(F)(F)F,0.02
OCCCBr,0.01
CN(C=C)N=O,0
CC(OC)=O,0
NC1CONC1=O,-0.01
CC(=O)CCl,-0.01
[NH3+][C@H](CO)C([O-])=O,-0.02
NC(=O)C(=NO)C(N)=O,-0.04
NC(=O)C(N=O)C(N)=O,-0.04
COCCCl,-0.07
CCOC,-0.08
CN[S]#CNCO,-0.08
CNC(=S)NCO,-0.08
O=[S]1(=O)CCCO1,-0.09
OC(CCl)CCl,-0.11
NNC(=O)CC(=O)NN,-0.12
ClCC1CO1,-0.15
OCC(S)CS,-0.16
OS(=O)(=O)C1=NC=CN1,-0.185
NC(=O)C(Cl)=C,-0.21
C\C(=N\O)C(F)(F)F,-0.23
OC(=O)C(S)CS,-0.24
COCC(F)F,-0.28
N[C@@H](CO)C(O)=O,-0.316666667
C\C(\C=N\O)=N/O,-0.35
CC(CN=O)N=O,-0.35
C\C(NO)=C\N=O,-0.35
C\C(NO)=C/N=O,-0.35
Nc1nccs1,-0.36
COC(=O)CCl,-0.37
OC(CO[N+]([O-])=O)CO[N+]([O-])=O,-0.37
O=C1NC(CN1)=O,-0.4
O=C(NC1=O)C(N1)=O,-0.4
NC(CS)C(O)=O,-0.415
OC(CCI)=O,-0.43
OC(=O)C(Cl)=C(Cl)Cl,-0.47
OCC(O)C=O,-0.49
NC(=O)C(Cl)CCl,-0.51
NC(=O)NCC(O)=O,-0.58
COC=C,-0.59
OCC(Br)CBr,-0.62
NC(=N)NCCS(O)(=O)=O,-0.63
NC(N)=NCCS(O)(=O)=O,-0.63
NC(=O)NCNC(N)=O,-0.65
COC(=O)C(F)(F)F,-0.65
OC(=O)C(\Br)=C/Br,-0.67
OC(=O)C(Cl)=C(Br)Br,-0.69
NC(=O)N[C@@H](O)C(Cl)(Cl)Cl,-0.72
COC(=O)CON(=O)=O,-0.74
NC(=S)SCC(O)=O,-0.75
CC(O)C(Cl)(Cl)Cl,-0.76
COC(F)(F)C(Cl)Cl,-0.76
CN(N=O)C(C)=O,-0.77
O=N(=O)CCC,-0.8
N[C@@H](CO[P](O)(O)=O)C(O)=O,-0.81
NCC(O)C(O)=O,-0.82
OC(=O)C=C(Br)Br,-0.84
OC(=O)C(F)(F)C(F)F,-0.88
BrCC#C,-0.9
CC(NC(N)=O)=O,-0.9
NC(N(N=O)CC)=O,-0.96
CCS(=O)(=O)CI,-0.97
O=S1CSCS(=O)C1,-1
OC(=O)C(\Br)=C(\Cl)Br,-1.01
OC(=O)C(Br)=C(Cl)Br,-1.01
OC(=O)C(\Br)=C(\Br)I,-1.02
OC(=O)C(Br)=C(Br)I,-1.02
OC(=O)C(\Br)=C(/Br)I,-1.02
CCSC,-1.06
OC(=O)CNCP(O)(O)=O,-1.15
ClC(Cl)(Cl)C(=O)C(Cl)(Cl)Cl,-1.18
CC(CCl)N(=O)=O,-1.19
CCC(Cl)[N+]([O-])=O,-1.19
C[C@@H](CCl)[N+]([O-])=O,-1.19
NC(=O)C(Br)(Br)C#N,-1.21
OC(=O)C(I)=CBr,-1.21
OC(=O)C(\I)=C\Br,-1.21
OC(=O)C(\I)=C/Br,-1.21
COC1=NSC(N)=N1,-1.24
[#6]OC1=[NH0][SH0]C([#7])=[NH0]1,-1.24
NC(=O)OCC(Cl)(Cl)Cl,-1.28
OC(=O)C(\I)=C(\Br)I,-1.29
ClN1C(=O)N(Cl)C(=O)N(Cl)C1=O,-1.29
[O-][N+](=O)c1[nH]ncc1,-1.29
OC(=O)C(I)=C(Br)I,-1.29
OC(=O)C(\I)=C(/Br)I,-1.29
OC(=O)C(Br)=C(Br)Br,-1.36
OC(CI)CI,-1.4
CC(Cl)C,-1.41
CCCS,-1.45
CC(C)O[N+]([O-])=O,-1.46
ClCCC,-1.47
CCCO[N+]([O-])=O,-1.5
CCC(Cl)(Cl)N(=O)=O,-1.5
C=CCBr,-1.5
ClCCS(=O)(=O)CCl,-1.5
O=C(O)CNC(N)=N,-1.51
FC(F)OC(F)(F)C(F)Cl,-1.52
NC1=NC(N)=NC(N)=N1,-1.59
CC(Br)C,-1.59
[#7]C1=[NH0]C([#7])=[NH0]C([#7])=[NH0]1,-1.59
C[C@@H](Cl)CCl,-1.6
ClC=CCCl,-1.6
C\C(Cl)=C\Cl,-1.61
C\C(Cl)=C/Cl,-1.61
CC(Cl)=CCl,-1.61
OC1=NC(O)=NC(O)=N1,-1.61
FC(F)OC(Cl)C(F)(F)F,-1.62
CCC(Cl)Cl,-1.62
C=CCCl,-1.62
NC(=S)NCNC(N)=S,-1.67
CS(=O)(=O)NC1=NN=C(S1)S(N)(=O)=O,-1.68
ClC\C=C/Cl,-1.71
C=C(Cl)CCl,-1.71
BrCCC,-1.73
CNC(=N)NC,-1.73
CN(C)C(N)=N,-1.73
O=C(CS1)NC1=S,-1.77
O=C1NC(=O)NC(=O)N1,-1.81
ClC\C=C\Cl,-1.826666667
ClCCCBr,-1.85
CC(Br)CCl,-1.85
CCC(Cl)(Cl)Cl,-1.89
CC(Cl)C(Cl)Cl,-1.89
